Project,Relation Type,SATD A,SATD B
Tvm,SATD Duplication,"[2017-12-24 19:09:57][Lianmin Zheng][code-comment][d218c5fc0072495b41017af5a83c91e79f97ce22]
 The assignment below introduces side-effect, and the resulting value cannot
 be reused across multiple expression, thus a new scope is needed
","[2017-12-19 14:16:35][tqchen][pull:comment][711:157765369]
add a comment:

The assignment introduces side-effect, and the resulting value cannot be reused across multiple expression, thus a new scope is needed"
Phoenix,SATD Repayment,"[2015-09-24 12:03:54][Gabriel Reid][code-comment][5ecd4967f6f9ee8ae90ea1ea7421b43fcba67d14]
 We cache the class loader because calls to Class.getClassLoader are relatively expensive
","[2015-09-24 12:03:54][Gabriel Reid][commit][5ecd4967f6f9ee8ae90ea1ea7421b43fcba67d14]
PHOENIX-2289 Avoid Class.getClassLoader calls

Cache the class loader from the PhoenixContextExecutor class
to avoid relatively expensive calls to Class.getClassLoader."
Beam,SATD Repayment,"[2017-03-28 16:44:32][Amit Sela][code-comment][25569eafeca647561ef10cedc03f06b1de53b8cd]
 using mapPartitions allows to preserve the partitioner
 and avoid unnecessary shuffle downstream.
","[2017-03-28 16:44:32][Amit Sela][commit][25569eafeca647561ef10cedc03f06b1de53b8cd]
[BEAM-1815] Force a ""default"" partitioner based on Spark default parallelism to avoid unnecessary shuffles in
the composite GBK implementation.

Add Javadoc."
Hbase,No Relation,"[2020-01-28 16:45:49][Bharath Vissapragada][code-comment][71f035450df0c8f56622b5151003bc134ca0091b]
*
 * Caches the cluster ID of the cluster. For standby masters, this is used to serve the client
 * RPCs that fetch the cluster ID. ClusterID is only created by an active master if one does not
 * already exist. Standby masters just read the information from the file system. This class is
 * thread-safe.
 *
 * TODO: Make it a singleton without affecting concurrent junit tests.
","[2019-12-06 02:09:36][bharathv][pull:summary][904]
This patch implements the RPCs needed for the meta information
lookup during connection init. New tests added to cover the RPC
code paths. HBASE-23305 builds on this to implement the client
side logic.

Fixed a bunch of checkstyle nits around the places the patch
touches."
Incubator Mxnet,No Relation,"[2016-07-21 19:16:34][piiswrong][pull:comment][2795:234355061]
So the current problem with training is that reservedspace need to be kept as an output but it's size is unknown during shape inference?
A simple fix is to use cudamemalloc to alloc it during op.init. It's not ideal but since it should be a small buffer it's fine for now
","[2016-06-13 00:43:31][piiswrong][issue:comment][2401:225470060]
Thank you very much for the contribution. This is an important feature.
The first should be straight forward. Like the other cudnn ops
An easy way to do the second is to chain up other operators in the c++ side. You just need to dispatch the Tblobs correctly."
Hadoop,SATD Repayment,"[2013-12-31 01:10:01][Vinod Kumar Vavilapalli][code-comment][460ac8cb50e024b60e02a96c2ab27368dfe0944d]
 blockNewEvents is only set when dispatcher is draining to stop,
 adding this check is to avoid the overhead of acquiring the lock
 and calling notify every time in the normal run of the loop.
","[2013-12-17 06:06:38][Jian He][issue:comment][YARN-1121:13850151]
Oh, the reason I added the blockNewEvents check is that I don't want notify() to be called every time in the normal run if the queue is empty. That can possibly create more overhead. And only to be called if dispatcher is stopping.
And In this scenario, I also think the sync should be outside the while loop to protect drained variable?"
Drill,SATD Repayment,"[2017-07-03 18:02:11][Kunal Khatua][commit][0e1e6042f507ac0da2a21d7de3bbed4c0dac549a]
DRILL-5420: ParquetAsyncPgReader goes into infinite loop during cleanup

PageQueue is cleaned up using poll() instead of take(), which constantly gets interrupted and causes CPU churn.
During a columnReader shutdown, a flag is set so as to block any new page reading tasks from being submitted.

closes #862
","[2017-06-28 17:49:20][kkhatua][pull:summary][862]
DRILL-5420: ParquetAsyncPgReader goes into infinite loop during cleanup"
Lucene Solr,No Relation,"[2020-01-28 11:27:18][Robert Muir][commit][e504798a44e5f1577d87ef3a43d9d1e3a859d68a]
LUCENE-9185: add ""tests.profile"" to gradle build to aid fixing slow tests

Run test(s) with -Ptests.profile=true to print a histogram at the end of
the build.
","[2020-01-28 13:43:15][Robert Muir][issue:comment][LUCENE-9185:17025112]
{quote}
It will work but -Ptests.profile=true would be more gradle-sque (it sets a project property as opposed to system property).
{quote}

The tool uses actual system properties for the more advanced options (e.g. {{-Dtests.profile.count=20}}). Seems a little evil to mix -P's and -D's when documenting this? I'll be honest, the difference is super confusing."
Incubator Dolphinscheduler,SATD Repayment,"[2020-04-21 02:25:45][dailidong][commit][eec92ed1fc1a35e22b8e38ac40681a1dd803399b]
simplify and optimize config (#2469)

* [Refactor worker] simplify and optimize config (#2386)

* simplify config

* simplify config

* simplify and optimize config

* Update HadoopUtils.java

optimize HadoopUtils

* Update HadoopUtilsTest.java

* Update HadoopUtilsTest.java

* Update HadoopUtilsTest.java

* Update HttpUtils.java

* Update pom.xml

* Update HadoopUtilsTest.java

* Update HadoopUtilsTest.java

* Update HadoopUtilsTest.java

* Update HadoopUtilsTest.java

* Update HadoopUtilsTest.java

* Update HadoopUtilsTest.java
","[2020-04-20 08:22:51][dailidong][pull:summary][2469]
simplify and optimize config"
Nifi Minifi Cpp,SATD Duplication,"[2017-02-22 15:47:02][Andrew Christianson][code-comment][a9485aeb05defe3e54b179c3b5dcc1735486abcd]
 Fall back to the initial (original) Object.toString().  We don't
		 * currently have pointers to the built-in functions, only the top
		 * level global objects (like ""Array"") so this is now done in a bit
		 * of a hacky manner.  It would be cleaner to push the (original)
		 * function and use duk_call_method().
","[2017-02-16 12:33:23][achristianson][pull:comment][43:101507876]
@phrocker Mainly, creating a shared ProcessContext and SessionFactory which will be used in this thread as well as the threads created in the loop below. I wanted these objects to be cleaned up once they go out of scope in all threads. The raw pointers are only used to integrate with the existing Processor pointer that is passed-in, as well as passing raw pointers to the constructors of the new shared objects. I wanted to minimize function/constructor changes that might have impacts elsewhere in the code base. If we want to move more to having managed pointers across the code base, then some of this can be cleaned up."
Hive,SATD Duplication,"[2014-01-27 17:30:14][Eric N. Hanson][code-comment][b1dcb8b7b42c444b14a91edb4c1251421205e3d3]
*
   * Divide the target object by right, and scale the result to newScale.
   *
   * This uses HiveDecimal to get a correct answer with the same rounding
   * behavior as HiveDecimal, but it is expensive.
   *
   * In the future, a native implementation could be faster.
","[2014-01-22 01:26:17][Eric N. Hanson][issue:comment][HIVE-6243:13878116]
Modified Decimal128.divideDestructive to use HiveDecimal division. This is slow but fixes the bug in the existing divide method. It also provides the same rounding behavior has HiveDecimal for consistency between row-mode and vectorized execution.

At some point in the future, another JIRA can be done to both fix the divide error in the original Decimal128.divideDestructive() and make it use the same rounding behavior as the current HiveDecimal."
Tinkerpop,SATD Duplication,"[2020-10-08 22:01:49][divijvaidya][pull:summary][1343]
TINKERPOP-2440 Simplify driver by delegating keepAlive logic to Netty
","[2020-10-08 21:17:09][Divij Vaidya][issue:summary][TINKERPOP-2440:13334512]
Simplify driver by delegating keepAlive logic to Netty"
Drill,SATD Repayment,"[2018-10-10 09:48:09][Sorabh Hamirwasia][commit][d5146c43986f09f132f4e96966082732a3740181]
DRILL-6766: Lateral Unnest query : IllegalStateException - rowId in right batch of lateral is smaller than rowId in left batch being processed
Note: Issue was in StreamingAgg where if output from one or multiple input batch was splitting into multiple output batch, then remaining input
records were discarded after producing first output batch
closes #1490
","[2018-10-04 18:32:59][sohami][pull:summary][1490]
DRILL-6766: Lateral Unnest query : IllegalStateException - rowId in right batch of lateral is smaller than rowId in left batch being processed"
Ignite,No Relation,"[2020-11-16 14:38:47][agoncharuk][pull:comment][7984:524315198]
Need to add more tests for actual complex indexes: multi-column, various inline sizes.
","[2020-11-27 09:04:10][Ivan Bessonov][issue:comment][IGNITE-13190:17239581]
[~mmuzaf] thank you for review!

I addressed your latest comments and made necessary changes to the code, please take a look. I hope that code is a bit more clean now."
Camel,No Relation,"[2015-01-18 14:44:32][Claus Ibsen][commit][42ded87e1256b2aabdd0bd0ed5f2e87fcac766b1]
CAMEL-7050: DeadLetterChannel should make more clear that it handles any new exception also. Added option to configure this behavior so ppl can turn that off and let new exceptions be unhandled, so transactions can rollback.
","[2014-06-24 05:54:34][Claus Ibsen][issue:comment][CAMEL-7050:14041738]
Yeah as there is a code change in redelivery error handler it affects *every* component in Camel. I wonder if the fix should not be in the fallback error handler, which is used for handling errors in error handlers. IMHO at first though that would see as a better solution."
Incubator Pinot,SATD Repayment,"[2020-04-03 15:27:25][Xiaotian (Jackie) Jiang][commit][ac327bb7aa78fc5f3acf5c8bc84c9add2ade0674]
Optimize ExpressionFilterOperator (#5132)

1. Add BYTES type and multi-value support
2. Directly consturct DocIdSet to save the overhead of filtering
3. Remove the redundant isMatch() for all scan based iterators

Also changed the numEntriesScannedInFilter for MV column to actual values fetched instead of values evaluated and added some TODOs for future filter optimization
","[2020-03-10 00:35:13][Jackie-Jiang][pull:summary][5132]
1. Add BYTES type and multi-value support
2. Directly construct DocIdSet to save the overhead of filtering
3. Remove the redundant isMatch() for all scan based iterators

Also changed the numEntriesScannedInFilter for MV column to actual values fetched instead of values evaluated and added some TODOs for future filter optimization"
Ignite,No Relation,"[2016-11-26 01:15:09][Amir Akhmedov][code-comment][b3616f734209671fc0cd5cd722936c47783a6ca6]
* The word converted into the Text.
","[2016-09-01 23:16:14][Valentin Kulichenko][issue:comment][IGNITE-3699:15456908]
[~aakhmedov], here are my comments.

# I don't like that you used the existing test and replaced {{invoke}} with {{get}}. Please create new test instead for {{get}} and make sure that {{invoke}} also works properly. Overall, you should increase code coverage, not reduce it.
# Can you please explain the change in {{GridCacheAdapter}}?"
Incubator Mxnet,SATD Repayment,"[2018-08-02 19:11:16][Lai Wei][commit][1bd9356b30ecde412663d0020ed769042cf456d6]
[MXNET-771] Fix Flaky Test test_executor.py:test_dot (#11978)

* use assert_almost_equal, increase rtol, reduce matrix size

* remove seed in test_bind

* add seed 0 to test_bind, it is still flaky

* add comments for tracking
","[2018-07-13 05:18:03][szha][issue:summary][11686]
The unit test in title have been using fixed seed to mask flakiness. Suggested action:
1. Evaluate whether the test is flaky without fixed seed. If not, remove seed. Else move to 2
2. If test is flaky, determine whether it's an actual uncaught edge case. If so, fix the operator. Else move to 3
3. If numerical instability is inevitable, adjust tolerance level appropriately."
Spark,SATD Repayment,"[2020-11-30 13:59:51][Josh Soref][commit][485145326a9c97ede260b0e267ee116f182cfd56]
[MINOR] Spelling bin core docs external mllib repl

### What changes were proposed in this pull request?

This PR intends to fix typos in the sub-modules:
* `bin`
* `core`
* `docs`
* `external`
* `mllib`
* `repl`
* `pom.xml`

Split per srowen https://github.com/apache/spark/pull/30323#issuecomment-728981618

NOTE: The misspellings have been reported at https://github.com/jsoref/spark/commit/706a726f87a0bbf5e31467fae9015218773db85b#commitcomment-44064356

### Why are the changes needed?

Misspelled words make it harder to read / understand content.

### Does this PR introduce _any_ user-facing change?

There are various fixes to documentation, etc...

### How was this patch tested?

No testing was performed

Closes #30530 from jsoref/spelling-bin-core-docs-external-mllib-repl.

Authored-by: Josh Soref <jsoref@users.noreply.github.com>
Signed-off-by: Takeshi Yamamuro <yamamuro@apache.org>
","[2020-11-28 23:23:44][jsoref][pull:summary][30530]
[MINOR] Spelling bin core docs external mllib repl"
Ignite,No Relation,"[2019-10-24 09:24:35][pavlukhin][pull:comment][6917:338470344]
According to codey-style `else` should start from new line.
","[2019-10-03 14:42:51][Andrey Mashenkov][issue:comment][IGNITE-12189:16943640]
[~Yuriy_Shuliha], good try. I've left few comments to the PR.

Change in PlatformCache can broke text queries in .NET. Let's make a stub and fix it later within a new ticket.
Other my comments relates to code styles."
